SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-26-2023,Condo/Co-op,16141 Blatt Blvd #205,Weston,FL,33326,340000,2,2.0,FAIRWAYS AT BONAVENTURE C,1350,,1981,,252,399,Sold,,,https://www.redfin.com/FL/Weston/16141-Blatt-Blvd-33326/unit-205/home/41720997,MARMLS,A11402505,N,Y,26.121694,-80.365599
PAST SALE,July-27-2023,Condo/Co-op,851 Three Islands Blvd #210,Hallandale,FL,33009,246000,2,2.0,De Soto Park Condo,1350,,1975,,182,547,Sold,,,https://www.redfin.com/FL/Hallandale-Beach/851-Three-Islands-Blvd-33009/unit-210/home/41958176,Beaches MLS,F10387715,N,Y,25.9946739,-80.1278221
PAST SALE,May-31-2023,Condo/Co-op,112 Royal Park Dr Unit 3G,Oakland Park,FL,33309,190000,2,2.0,ROYAL PARK CONDO,975,,1974,,195,463,Sold,,,https://www.redfin.com/FL/Oakland-Park/112-Royal-Park-Dr-33309/unit-3G/home/41666812,MARMLS,A11342433,N,Y,26.1705807,-80.1653162
PAST SALE,June-22-2023,Condo/Co-op,2124 NE 5th Ave #107,Wilton Manors,FL,33305,255000,1,1.0,Marvilla Condominium,549,,1965,,464,525,Sold,,,https://www.redfin.com/FL/Wilton-Manors/2124-NE-5th-Ave-33305/unit-107/home/42059980,Beaches MLS,RX-10888227,N,Y,26.1556701,-80.1397618
PAST SALE,June-30-2023,Condo/Co-op,2323 SW 15th St #50,Deerfield Beach,FL,33442,290000,2,2.0,Meadowridge Condo,1100,,1981,,264,368,Sold,,,https://www.redfin.com/FL/Deerfield-Beach/2323-SW-15th-St-33442/unit-50/home/41472479,Beaches MLS,RX-10887375,N,Y,26.2974654,-80.1352257
PAST SALE,May-11-2023,Condo/Co-op,3360 Spanish Moss Ter #102,Lauderhill,FL,33319,147000,2,2.0,GARDEN LAKES OF INVERRARY,1200,,1972,,123,669,Sold,,,https://www.redfin.com/FL/Lauderhill/3360-Spanish-Moss-Ter-33319/unit-102/home/41585454,MARMLS,A11287937,N,Y,26.1682884,-80.2320006
PAST SALE,June-7-2023,Condo/Co-op,201 N Ocean Blvd #607,Pompano Beach,FL,33062,346800,2,2.0,Granada House Condominium,1000,,1966,,347,825,Sold,,,https://www.redfin.com/FL/Pompano-Beach/201-N-Ocean-Blvd-33062/unit-607/home/41524999,Beaches MLS,RX-10848874,N,Y,26.2384644,-80.0896619
PAST SALE,July-7-2023,Condo/Co-op,5170 SW 40th Ave Unit 1E,Dania Beach,FL,33314,160000,2,2.0,OAK HILLS CONDO NO IV,1060,,1973,,151,480,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/5170-SW-40th-Ave-33314/unit-1E/home/41820824,MARMLS,A11424969,N,Y,26.057124,-80.2001885
PAST SALE,June-12-2023,Condo/Co-op,3111 N Ocean Dr #906,Hollywood,FL,33019,655000,2,2.0,HOLLYWOOD TOWERS CONDO,1204,,1967,,544,918,Sold,,,https://www.redfin.com/FL/Hollywood/3111-N-Ocean-Dr-33019/unit-906/home/41930044,MARMLS,A11409058,N,Y,26.0306884,-80.1155142
PAST SALE,June-22-2023,Condo/Co-op,1301 SW 142nd Ave Unit 414H,Pembroke Pines,FL,33027,295000,2,2.0,SUFFOLK AT CENTURY VILLAG,1207,,1996,,244,550,Sold,,,https://www.redfin.com/FL/Pembroke-Pines/1301-SW-142nd-Ave-33027/unit-414H/home/41844512,MARMLS,A11409487,N,Y,25.9958377,-80.332582
